Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 146,0.244599746,O=C(N1CCC(CC1)Cn1cncc1)/C=C/c1ccco1,C16H19N3O2,285.34,21,10,0.38,5,3,0,83.91,51.27,2.59,1.37,1.94,0.7,1.81,1.68,-2.49,0.914,0.0032,Soluble,-2.05,2.55,0.00892,Soluble,-3.07,0.241,0.000845,Soluble,High,Yes,No,No,Yes,No,No,No,-7.07,0,0,0,0,0,0.55,0,1,0,3.3
Molecule 147,0.210593491,CCOC(=O)C(=O)N1CCC(CC1)Cn1cncc1,C13H19N3O3,265.31,19,5,0.62,6,4,0,72.93,64.43,2.36,0.84,0.3,0.13,0.56,0.84,-1.81,4.08,0.0154,Very soluble,-1.78,4.44,0.0168,Very soluble,-1.74,4.82,0.0182,Soluble,High,No,No,No,No,No,No,No,-7.32,0,0,0,0,0,0.55,0,1,0,2.08
Molecule 149,0.257481297,CCOC(=O)C(=O)N1CCC(CC1)Cn1ccnc1CC,C15H23N3O3,293.36,21,5,0.67,7,4,0,82.71,64.43,2.5,1.67,0.87,0.65,1.45,1.43,-2.43,1.1,0.00376,Soluble,-2.64,0.676,0.00231,Soluble,-2.52,0.88,0.003,Soluble,High,No,No,No,No,No,No,No,-6.9,0,0,0,0,0,0.55,0,1,0,2.44
Molecule 1,0.268666241,Cc1cccc(c1)NC(=O)N1CCC(CC1)Cn1cncc1,C17H22N4O,298.38,22,11,0.41,5,2,1,91.41,50.16,2.63,1.94,2.56,2.06,1.56,2.15,-2.95,0.333,0.00112,Soluble,-2.62,0.72,0.00241,Soluble,-4.2,0.0187,6.27e-05,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,No,-6.74,0,0,0,0,0,0.55,0,0,0,2.28
Molecule 2,0.200381679,CCOC(=O)CN1CCC(CC1)Cn1ccnc1C,C14H23N3O2,265.35,19,5,0.71,6,4,0,77.7,47.36,2.61,1.42,1.09,0.89,1.52,1.51,-2.18,1.76,0.00663,Soluble,-2.02,2.54,0.00957,Soluble,-2.58,0.692,0.00261,Soluble,High,Yes,Yes,No,No,No,No,No,-6.91,0,0,0,0,0,0.55,0,0,0,2.26
Molecule 3,0.250318471,O=C(N1CCC(CC1)Cn1cccn1)/C=C/c1ccco1,C16H19N3O2,285.34,21,10,0.38,5,3,0,83.91,51.27,2.74,1.59,1.94,1.1,1.81,1.84,-2.63,0.664,0.00233,Soluble,-2.28,1.51,0.00527,Soluble,-3.07,0.241,0.000845,Soluble,High,Yes,No,No,Yes,No,No,No,-6.91,0,0,0,0,0,0.55,0,1,0,3.27
Molecule 4,0.216112532,CCOC(=O)C(=O)N1CCC(CC1)Cn1cccn1,C13H19N3O3,265.31,19,5,0.62,6,4,0,72.93,64.43,2.59,1.06,0.3,0.54,0.56,1.01,-1.95,2.97,0.0112,Very soluble,-2.0,2.63,0.0099,Soluble,-1.74,4.82,0.0182,Soluble,High,No,No,No,No,No,No,No,-7.17,0,0,0,0,0,0.55,0,1,0,2.12
Molecule 6,0.287166455,O=C(N1CCC(CC1)Cn1cccn1)Nc1ccccc1C,C17H22N4O,298.38,22,11,0.41,5,2,1,91.41,50.16,2.83,2.16,2.56,2.47,1.56,2.32,-3.09,0.242,0.000811,Soluble,-2.85,0.425,0.00143,Soluble,-4.2,0.0187,6.27e-05,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,No,-6.59,0,0,0,0,0,0.55,0,0,0,2.26
Molecule 7,0.298780488,C=CCNC(=O)c1nc(no1)c1cnccn1,C10H9N5O2,231.21,17,11,0.1,5,6,1,57.46,93.8,1.68,-0.05,0.44,-1.22,1.06,0.38,-1.39,9.4,0.0407,Very soluble,-1.47,7.85,0.034,Very soluble,-3.5,0.0736,0.000318,Soluble,High,No,No,Yes,No,No,No,No,-7.75,0,0,0,0,0,0.55,0,1,1,3.04
Molecule 8,0.319686936,CCOC(=O)CNC(=O)c1nc(no1)c1cnccn1,C11H11N5O4,277.24,20,11,0.27,7,8,1,64.03,120.1,1.58,-0.4,-0.18,-1.68,0.53,-0.03,-1.25,15.5,0.056,Very soluble,-1.66,6.09,0.022,Very soluble,-3.52,0.083,0.000299,Soluble,High,No,No,Yes,No,No,No,No,-8.28,0,0,0,0,0,0.55,0,0,0,3.06
Molecule 9,0.325315695,CCOC(=O)CNC(=O)c1csc(n1)c1cnccn1,C12H12N4O3S,292.31,20,11,0.25,7,6,1,71.84,122.31,2.16,0.41,0.89,-1.05,2.29,0.94,-1.86,4.08,0.0139,Very soluble,-2.55,0.833,0.00285,Soluble,-3.95,0.0331,0.000113,Soluble,High,No,No,Yes,No,No,No,No,-7.79,0,0,0,0,0,0.55,0,0,0,3.07
Molecule 10,0.194730077,CCOC(=O)CCC(=O)NC(Cc1ccco1)C,C13H19NO4,253.29,18,5,0.54,9,4,1,66.42,68.54,2.51,1.15,1.67,0.54,2.29,1.63,-1.75,4.54,0.0179,Very soluble,-2.18,1.66,0.00655,Soluble,-3.75,0.0453,0.000179,Soluble,High,Yes,No,No,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,0,1,2.97
Molecule 11,0.230720607,N#Cc1cccc(c1)C(=O)NC(Cc1ccco1)C,C15H14N2O2,254.28,19,11,0.2,5,3,1,70.52,66.03,2.39,2.41,2.51,1.1,2.92,2.27,-3.03,0.236,0.000926,Soluble,-3.44,0.0926,0.000364,Soluble,-5.06,0.00221,8.71e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.14,0,0,0,0,0,0.55,0,0,0,2.77
Molecule 12,0.189189189,COCCNC(=O)C(=O)NC(Cc1ccco1)C,C12H18N2O4,254.28,18,5,0.5,9,4,2,64.41,80.57,2.54,0.59,0.09,-0.95,1.15,0.68,-1.4,10.1,0.0398,Very soluble,-1.86,3.55,0.014,Very soluble,-3.39,0.103,0.000404,Soluble,High,No,No,No,No,No,No,No,-7.43,0,0,0,0,0,0.55,0,1,1,2.95
Molecule 13,0.291304348,CC(NC(=O)C(=O)Nc1noc(c1)C)Cc1ccco1,C13H15N3O4,277.28,20,10,0.31,7,5,2,69.96,97.37,2.23,1.48,1.07,-0.2,1.39,1.2,-2.4,1.11,0.00399,Soluble,-3.13,0.205,0.000738,Soluble,-4.2,0.0176,6.35e-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.94,0,0,0,0,0,0.55,0,1,0,3.39
Molecule 14,0.216284987,CC(NC(=O)C(=O)NCc1ccccc1)Cc1ccco1,C16H18N2O3,286.33,21,11,0.25,8,3,2,78.2,71.34,2.91,2.23,1.49,0.66,2.42,1.94,-2.88,0.378,0.00132,Soluble,-3.36,0.124,0.000433,Soluble,-5.37,0.00122,4.28e-06,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-6.46,0,0,0,0,0,0.55,0,1,1,2.85
Molecule 15,0.243209097,CC(NC(=O)C(=O)NCc1cccs1)Cc1ccco1,C14H16N2O3S,292.35,20,10,0.29,8,3,2,76.08,99.58,2.71,1.95,1.55,0.19,3.05,1.89,-2.72,0.553,0.00189,Soluble,-3.67,0.0631,0.000216,Soluble,-4.64,0.00676,2.31e-05,Moderately soluble,High,No,No,No,Yes,Yes,No,No,-6.7,0,0,0,0,0,0.55,0,1,1,3.11
Molecule 16,0.262664165,CC(NC(=O)C(=O)Nc1ccon1)Cc1cccs1,C12H13N3O3S,279.31,19,10,0.25,7,4,2,70.6,112.47,2.07,1.69,1.23,0.33,2.14,1.49,-2.56,0.762,0.00273,Soluble,-3.67,0.0602,0.000215,Soluble,-3.86,0.0382,0.000137,Soluble,High,No,No,No,Yes,No,No,No,-6.8,0,0,0,0,0,0.55,0,1,0,3.19
Molecule 17,0.238338658,CC(NC(=O)C(=O)Nc1ccccc1)Cc1cccs1,C15H16N2O2S,288.36,20,11,0.2,7,2,2,80.54,86.44,2.64,2.91,2.24,1.51,3.29,2.52,-3.41,0.113,0.000392,Soluble,-4.39,0.0119,4.11e-05,Moderately soluble,-5.02,0.00276,9.57e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.99,0,0,0,0,0,0.55,0,1,0,2.79
Molecule 18,0.245054244,C=CCNC(=O)N1CCC(C1)c1ccc(cc1)OC,C15H20N2O2,260.33,19,6,0.4,6,2,1,79.16,41.57,2.83,2.05,2.0,2.11,2.19,2.24,-2.58,0.68,0.00261,Soluble,-2.55,0.731,0.00281,Soluble,-3.59,0.0663,0.000255,Soluble,High,Yes,No,No,No,No,No,No,-6.43,0,0,0,0,0,0.55,0,1,0,2.51
Molecule 19,0.214561856,C=CCNC(=O)N1CCC(C1)c1ccccc1,C14H18N2O,230.31,17,6,0.36,5,1,1,72.67,32.34,2.67,2.07,1.99,2.44,2.14,2.26,-2.5,0.723,0.00314,Soluble,-2.38,0.964,0.00418,Soluble,-3.47,0.0779,0.000338,Soluble,High,Yes,No,No,Yes,No,No,No,-6.24,0,0,0,0,0,0.55,0,1,1,2.39
Molecule 20,0.250799744,O=C(N1CCC(C1)c1ccccc1)Nc1ccccc1,C17H18N2O,266.34,20,12,0.24,4,1,1,84.75,32.34,2.71,2.99,3.14,3.3,2.55,2.94,-3.55,0.0742,0.000279,Soluble,-3.33,0.124,0.000464,Soluble,-5.13,0.00197,7.4e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,No,-5.8,0,0,0,0,0,0.55,0,0,0,2.41
Molecule 21,0.258461538,O=C(c1ccno1)NCC1COC2(O1)CCCCC2,C13H18N2O4,266.29,19,5,0.69,4,5,1,65.94,73.59,2.46,1.25,1.48,0.49,1.62,1.46,-2.21,1.64,0.00618,Soluble,-2.39,1.08,0.00404,Soluble,-3.1,0.21,0.000789,Soluble,High,No,Yes,No,No,No,No,No,-7.04,0,0,0,0,0,0.55,0,0,0,3.87
Molecule 22,0.285365854,O=C(c1noc(c1)C)NCC1COC2(O1)CCCCC2,C14H20N2O4,280.32,20,5,0.71,4,5,1,70.9,73.59,2.77,1.65,1.79,0.75,2.11,1.81,-2.54,0.811,0.00289,Soluble,-2.81,0.435,0.00155,Soluble,-3.49,0.0915,0.000327,Soluble,High,Yes,Yes,No,No,No,No,No,-6.84,0,0,0,0,0,0.55,0,0,0,4.08
Molecule 23,0.240717822,O=C(c1cscc1)NCC1COC2(O1)CCCCC2,C14H19NO3S,281.37,19,5,0.64,4,3,1,73.75,75.8,3.12,2.15,2.55,1.58,3.42,2.56,-2.87,0.38,0.00135,Soluble,-3.37,0.119,0.000423,Soluble,-3.53,0.0838,0.000298,Soluble,High,Yes,Yes,Yes,No,Yes,Yes,No,-6.49,0,0,0,0,0,0.55,0,0,0,3.87
Molecule 24,0.304819277,O=C(c1cc(oc1C)C)NCC1COC2(O1)CCCCC2,C16H23NO4,293.36,21,5,0.69,4,4,1,78.07,60.7,3.46,2.34,2.7,1.26,3.16,2.58,-3.05,0.264,0.000901,Soluble,-3.25,0.163,0.000557,Soluble,-4.24,0.0169,5.75e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.43,0,0,0,0,0,0.55,0,0,0,4.26
Molecule 25,0.253889235,O=C(Cc1cccs1)NCC1COC2(O1)CCCCC2,C15H21NO3S,295.4,20,5,0.67,5,3,1,78.34,75.8,2.89,2.12,2.48,1.57,3.78,2.57,-2.86,0.406,0.00137,Soluble,-3.34,0.134,0.000454,Soluble,-3.92,0.0351,0.000119,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.6,0,0,0,0,0,0.55,0,0,0,3.99
Molecule 26,0.247365158,O=C(Nc1cccs1)NCC1COC2(O1)CCCCC2,C14H20N2O3S,296.39,20,5,0.64,5,3,2,78.26,87.83,3.11,2.21,2.75,1.57,2.62,2.45,-2.92,0.352,0.00119,Soluble,-3.69,0.0607,0.000205,Soluble,-3.57,0.0796,0.000269,Soluble,High,No,Yes,Yes,No,No,No,No,-6.54,0,0,0,0,0,0.55,0,0,0,4.06
Molecule 27,0.256198347,CCOC(=O)CCC(=O)N1CCOC(C1)c1ccccc1,C16H21NO4,291.34,21,6,0.5,7,4,0,81.94,55.84,2.65,1.0,1.22,1.27,2.4,1.71,-2.03,2.75,0.00942,Soluble,-1.76,5.05,0.0173,Very soluble,-3.58,0.0758,0.00026,Soluble,High,Yes,No,No,No,No,No,No,-7.37,0,0,0,0,0,0.55,0,0,0,2.83
Molecule 28,0.13759052,CCOC(=O)CCC(=O)NCC1CCN(CC1)C(C)C,C15H28N2O3,284.39,20,0,0.87,9,4,1,83.2,58.64,2.84,1.25,1.19,1.29,2.06,1.73,-1.8,4.54,0.016,Very soluble,-2.08,2.37,0.00832,Soluble,-2.89,0.367,0.00129,Soluble,High,Yes,Yes,No,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,0,1,2.4
Molecule 30,0.223566879,CCOC(=O)CCC(=O)NCC1(CC1)c1ccc(cc1)F,C16H20FNO3,293.33,21,6,0.5,9,4,1,76.68,55.4,2.66,2.01,2.67,2.49,3.8,2.73,-2.54,0.841,0.00287,Soluble,-2.8,0.464,0.00158,Soluble,-5.18,0.00192,6.56e-06,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.66,0,0,0,0,0,0.55,0,0,1,2.17
Molecule 31,0.222222222,C=CCNC(=O)NCC1(CCOCC1)c1ccccc1,C16H22N2O2,274.36,20,6,0.44,7,2,2,79.24,50.36,2.75,2.11,2.22,2.1,2.86,2.41,-2.63,0.643,0.00234,Soluble,-2.8,0.437,0.00159,Soluble,-4.82,0.00414,1.51e-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,0,2.34
Molecule 32,0.286596665,N#Cc1cccc(c1)C(=O)NCC1(CC1)c1cccs1,C16H14N2OS,282.36,20,11,0.25,5,2,1,78.71,81.13,2.55,2.88,3.02,2.2,4.57,3.04,-3.48,0.0931,0.00033,Soluble,-4.24,0.0161,5.71e-05,Moderately soluble,-5.49,0.000914,3.24e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.98,0,0,0,0,0,0.55,0,0,0,2.29
Molecule 33,0.277153558,C=CCNC(=O)NCC1(CCOCC1)c1cccs1,C14H20N2O2S,280.39,19,5,0.5,7,2,2,77.12,78.6,2.64,1.83,2.28,1.63,3.49,2.37,-2.46,0.963,0.00344,Soluble,-3.1,0.222,0.000793,Soluble,-4.09,0.0228,8.15e-05,Moderately soluble,High,No,Yes,Yes,Yes,No,No,No,-6.71,0,0,0,0,0,0.55,0,1,0,2.77
Molecule 34,0.250631313,CNC(=O)C(=O)NCC1(CCCC1)c1ccc(cc1)OC,C16H22N2O3,290.36,21,6,0.5,7,3,2,80.13,67.43,2.81,2.55,1.37,1.13,2.47,2.06,-3.0,0.293,0.00101,Soluble,-3.61,0.0707,0.000244,Soluble,-4.69,0.00596,2.05e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,0,0.55,0,1,0,2.0
Molecule 36,0.271857052,CCOC(=O)CCC(=O)Nc1ccc2c(c1)CC(=O)N2,C14H16N2O4,276.29,20,6,0.36,7,4,2,76.56,84.5,1.99,0.07,0.7,0.81,1.93,1.1,-1.36,12.1,0.0439,Very soluble,-1.4,11.0,0.04,Very soluble,-4.18,0.0183,6.62e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.94,0,0,0,0,0,0.55,0,0,0,2.19
Molecule 39,0.203522505,CCOC(=O)CCC(=O)Nc1ccc(cc1)CC(=O)NC,C15H20N2O4,292.33,21,6,0.4,10,4,2,78.85,84.5,2.28,0.44,1.07,1.19,2.06,1.41,-1.48,9.66,0.033,Very soluble,-1.78,4.83,0.0165,Very soluble,-4.47,0.00981,3.36e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.77,0,0,0,0,0,0.55,0,0,1,2.1
Molecule 40,0.200378072,O=S(=O)(N1CCC2(CC1)OCCO2)C1CC1,C10H17NO4S,247.31,16,0,1.0,2,5,0,61.82,64.22,2.1,0.01,0.95,-0.07,0.45,0.69,-1.25,14.0,0.0565,Very soluble,-0.91,30.4,0.123,Very soluble,-1.16,17.3,0.0698,Soluble,High,No,Yes,No,No,No,No,No,-7.8,0,0,0,0,0,0.55,0,0,1,3.13
Molecule 42,0.227823867,CCOC(=O)C(=O)Nc1ccc(cc1)c1cc[nH]n1,C13H13N3O3,259.26,19,11,0.15,6,4,2,69.24,84.08,1.76,1.71,1.39,0.56,1.87,1.46,-2.56,0.719,0.00277,Soluble,-3.09,0.21,0.00081,Soluble,-4.24,0.015,5.79e-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.67,0,0,0,0,0,0.55,0,1,0,1.98
Molecule 43,0.244178729,N#CC1(CC1)C(=O)NCc1ccc2c(c1)OCO2,C13H12N2O3,244.25,18,6,0.38,4,4,1,61.88,71.35,2.06,1.28,1.12,0.63,2.23,1.46,-2.14,1.76,0.00719,Soluble,-2.38,1.02,0.00419,Soluble,-3.47,0.0835,0.000342,Soluble,High,No,Yes,Yes,No,No,No,No,-6.88,0,0,0,0,0,0.55,0,0,1,2.06
Molecule 44,0.138410596,CNC(=O)C(=O)NCCOc1ccc(cc1)F,C11H13FN2O3,240.23,17,6,0.27,7,4,2,58.12,67.43,2.04,1.02,0.49,0.61,1.23,1.08,-1.77,4.07,0.0169,Very soluble,-2.03,2.26,0.00943,Soluble,-3.62,0.0574,0.000239,Soluble,High,No,No,No,No,No,No,No,-7.04,0,0,0,0,0,0.55,0,1,1,1.89
Molecule 46,0.255625,O=C(C(=O)NCCn1ccnc1C)Nc1nocc1,C11H13N5O3,263.25,19,10,0.27,7,5,2,64.97,102.05,1.27,-0.29,-0.26,-1.13,-0.24,-0.13,-1.22,16.0,0.0607,Very soluble,-1.39,10.6,0.0404,Very soluble,-2.97,0.283,0.00107,Soluble,High,No,No,No,No,No,No,No,-8.11,0,0,0,0,0,0.55,0,1,0,2.75
Molecule 47,0.246487867,O=C(C(=O)Nc1ccon1)NCCOc1ccc(cc1)F,C13H12FN3O4,293.25,21,11,0.15,8,6,2,69.4,93.46,2.13,1.36,1.18,0.43,1.27,1.27,-2.37,1.24,0.00422,Soluble,-2.93,0.348,0.00119,Soluble,-4.58,0.00775,2.64e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,1,1,2.64
Molecule 48,0.195610071,CCOCCCNC(=O)C(=O)Nc1ccon1,C10H15N3O4,241.24,17,5,0.5,9,5,2,58.94,93.46,2.01,0.17,-0.03,-0.84,0.41,0.34,-1.07,20.7,0.0858,Very soluble,-1.69,4.92,0.0204,Very soluble,-2.99,0.245,0.00102,Soluble,High,No,No,No,No,No,No,No,-7.65,0,0,0,0,0,0.55,0,1,2,2.61
Molecule 49,0.245778612,Cc1nnc(o1)CNC(=O)C(=O)Nc1nocc1,C9H9N5O4,251.2,18,10,0.22,6,7,2,55.93,123.15,1.33,-0.65,-0.72,-1.29,-0.17,-0.3,-1.0,24.9,0.0993,Very soluble,-1.46,8.65,0.0344,Very soluble,-3.02,0.238,0.000948,Soluble,High,No,No,No,No,No,No,No,-8.29,0,1,0,0,0,0.55,0,1,0,2.72
Molecule 50,0.285802852,Cc1onc(c1)NC(=O)C(=O)NCCn1ccnc1C,C12H15N5O3,277.28,20,10,0.33,7,5,2,69.93,102.05,1.57,0.11,0.05,-0.85,0.25,0.23,-1.54,8.06,0.0291,Very soluble,-1.81,4.31,0.0155,Very soluble,-3.35,0.123,0.000445,Soluble,High,No,No,No,No,No,No,No,-7.91,0,0,0,0,0,0.55,0,1,0,2.89
Molecule 51,0.310934637,Cc1onc(c1)NC(=O)C(=O)NCCn1nc(cc1C)C,C13H17N5O3,291.31,21,10,0.38,7,5,2,74.9,102.05,2.14,0.73,0.36,-0.17,0.76,0.76,-2.0,2.94,0.0101,Very soluble,-2.45,1.03,0.00353,Soluble,-3.73,0.0537,0.000185,Soluble,High,No,Yes,No,No,No,No,No,-7.56,0,0,0,0,0,0.55,0,1,0,2.95
Molecule 52,0.196417147,O=C(C(=O)NC1CCCCC1)NCCn1ccnc1C,C14H22N4O2,278.35,20,5,0.64,7,3,2,75.61,76.02,2.5,1.18,0.76,-0.01,0.98,1.08,-2.03,2.58,0.00929,Soluble,-2.37,1.18,0.00425,Soluble,-3.04,0.253,0.000908,Soluble,High,No,Yes,No,No,No,No,No,-7.16,0,0,0,0,0,0.55,0,1,0,2.46
Molecule 53,0.124585818,CC(OCCCNC(=O)C(=O)NC1CCCCC1)C,C14H26N2O3,270.37,19,0,0.86,9,3,2,74.39,67.43,3.24,2.07,1.37,0.63,1.89,1.84,-2.23,1.61,0.00594,Soluble,-3.12,0.207,0.000767,Soluble,-3.1,0.217,0.000802,Soluble,High,Yes,Yes,No,No,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,1,2.25
Molecule 54,0.175587467,O=C(C(=O)NC1CCCCC1)NCCc1ccc(cc1)F,C16H21FN2O2,292.35,21,6,0.5,7,3,2,78.52,58.2,2.94,3.12,2.35,2.08,2.98,2.69,-3.37,0.125,0.000429,Soluble,-4.01,0.0285,9.75e-05,Moderately soluble,-4.92,0.00355,1.21e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.87,0,0,0,0,0,0.55,0,1,0,2.02
Molecule 55,0.203821656,O=C(C(=O)NCCn1ccnc1C)NCc1ccccc1,C15H18N4O2,286.33,21,11,0.27,8,3,2,78.17,76.02,1.67,0.87,0.47,0.0,1.26,0.86,-2.02,2.72,0.00949,Soluble,-2.05,2.55,0.0089,Soluble,-4.52,0.00857,2.99e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.43,0,0,0,0,0,0.55,0,1,1,2.15
Molecule 56,0.257633588,Cc1cccc(c1)NC(=O)C(=O)NCCn1ccnc1C,C15H18N4O2,286.33,21,11,0.27,7,3,2,79.87,76.02,2.23,1.29,1.06,0.27,1.39,1.25,-2.35,1.27,0.00443,Soluble,-2.49,0.935,0.00326,Soluble,-4.51,0.00891,3.11e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.13,0,0,0,0,0,0.55,0,1,0,2.28
Molecule 57,0.262893082,O=C(C(=O)NCCn1ccnc1C)Nc1ccccc1F,C14H15FN4O2,290.29,21,11,0.21,7,4,2,74.86,76.02,2.41,1.03,1.31,0.41,1.31,1.3,-2.21,1.77,0.0061,Soluble,-2.22,1.76,0.00608,Soluble,-4.4,0.0116,4.01e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.34,0,0,0,0,0,0.55,0,1,0,2.37
Molecule 58,0.234810127,O=C(C(=O)NCCn1ccnc1C)NCc1cccs1,C13H16N4O2S,292.36,20,10,0.31,8,3,2,76.05,104.26,2.3,0.58,0.53,-0.48,1.9,0.97,-1.86,4.04,0.0138,Very soluble,-2.34,1.33,0.00454,Soluble,-3.79,0.0473,0.000162,Soluble,High,No,No,No,No,No,No,No,-7.67,0,0,0,0,0,0.55,0,1,1,2.52
Molecule 59,0.173515982,CCOCCCNC(=O)C(=O)NCc1cccs1,C12H18N2O3S,270.35,18,5,0.5,10,3,2,70.02,95.67,2.73,1.04,0.76,-0.14,2.57,1.39,-1.72,5.19,0.0192,Very soluble,-2.64,0.62,0.00229,Soluble,-3.82,0.0409,0.000151,Soluble,High,No,No,No,No,No,No,No,-7.21,0,0,0,0,0,0.55,0,1,1,2.36
Molecule 60,0.170365535,O=C(C(=O)NCc1cccs1)NCC(F)(F)F,C9H9F3N2O2S,266.24,17,5,0.33,7,5,2,54.71,86.44,2.38,1.57,2.15,0.27,2.52,1.78,-2.24,1.55,0.00582,Soluble,-3.0,0.269,0.00101,Soluble,-3.37,0.115,0.000432,Soluble,High,No,No,Yes,Yes,No,No,No,-6.81,0,0,0,0,0,0.55,0,1,0,2.13
Molecule 61,0.217528373,Cc1nnc(o1)CNC(=O)C(=O)NCc1cccs1,C11H12N4O3S,280.3,19,10,0.27,7,5,2,67.02,125.36,2.01,0.22,0.07,-0.61,1.92,0.72,-1.64,6.36,0.0227,Very soluble,-2.41,1.09,0.00387,Soluble,-3.85,0.0398,0.000142,Soluble,High,No,No,No,No,No,No,No,-7.85,0,0,0,0,0,0.55,0,1,0,2.56
Molecule 62,0.113182423,OCCCNC(=O)C(=O)NC1CCCCCC1,C12H22N2O3,242.31,17,0,0.83,7,3,3,64.85,78.43,2.43,1.28,0.32,0.09,1.0,1.03,-1.69,4.98,0.0206,Very soluble,-2.53,0.721,0.00298,Soluble,-2.24,1.38,0.00571,Soluble,High,No,Yes,No,No,No,No,No,-6.87,0,0,0,0,0,0.55,0,1,1,2.0
Molecule 63,0.136633663,COCC(NC(=O)C(=O)NC1CCCCCC1)C,C13H24N2O3,256.34,18,0,0.85,7,3,2,69.58,67.43,2.91,1.89,0.98,0.36,1.37,1.5,-2.16,1.78,0.00695,Soluble,-2.93,0.302,0.00118,Soluble,-2.57,0.692,0.0027,Soluble,High,No,No,No,No,No,No,No,-6.52,0,0,0,0,0,0.55,0,1,0,2.63
Molecule 64,0.168940871,CN1CCN(CC1)NC(=O)C(=O)NC1CCCCCC1,C14H26N4O2,282.38,20,0,0.86,5,4,2,84.81,64.68,2.96,1.65,-0.66,0.63,0.04,0.92,-2.3,1.41,0.00501,Soluble,-2.62,0.675,0.00239,Soluble,-1.76,4.88,0.0173,Soluble,High,No,Yes,No,No,No,No,No,-6.85,0,1,0,0,0,0.55,0,1,0,2.91
Molecule 65,0.130377234,O=C(C(=O)NCC(F)(F)F)NC1CCCCCC1,C11H17F3N2O2,266.26,18,0,0.82,6,5,2,59.07,58.2,2.47,2.72,2.76,1.06,1.83,2.17,-2.81,0.414,0.00155,Soluble,-3.6,0.0675,0.000254,Soluble,-2.89,0.343,0.00129,Soluble,High,Yes,No,No,No,No,No,No,-5.99,0,0,0,0,0,0.55,0,1,0,1.99
Molecule 66,0.29459799,N#Cc1ccccc1NC(=O)C(=O)NCCn1ccnc1C,C15H15N5O2,297.31,22,11,0.2,7,4,2,79.62,99.81,1.99,1.2,0.63,-0.61,0.92,0.83,-2.35,1.34,0.00449,Soluble,-2.89,0.381,0.00128,Soluble,-4.2,0.0187,6.3e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.26,0,0,0,0,0,0.55,0,1,0,2.42
Molecule 67,0.284105131,N#Cc1ccccc1NC(=O)C(=O)NCc1nnc(o1)C,C13H11N5O3,285.26,21,11,0.15,6,6,2,70.59,120.91,2.04,0.84,0.16,-0.69,0.92,0.65,-2.13,2.12,0.00742,Soluble,-2.96,0.311,0.00109,Soluble,-4.26,0.0157,5.52e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.44,0,0,0,0,0,0.55,0,1,0,2.47
